iter	Passed	Remaining
0	2	214
1	3	192
2	5	185
3	7	168
4	9	174
5	11	175
6	13	173
7	14	167
8	16	164
9	17	160
10	19	156
11	20	152
12	22	149
13	24	149
14	25	145
15	26	140
16	27	135
17	28	130
18	29	126
19	30	123
20	31	119
21	32	115
22	33	112
23	34	108
24	35	105
25	35	101
26	36	98
27	36	94
28	37	91
29	38	89
30	39	87
31	40	85
32	40	82
33	41	80
34	41	77
35	42	75
36	43	73
37	43	71
38	44	69
39	44	67
40	45	65
41	45	63
42	46	61
43	46	59
44	47	57
45	48	56
46	48	54
47	49	53
48	49	51
49	50	50
50	50	48
51	51	47
52	51	46
53	52	44
54	52	43
55	54	42
56	55	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	59	35
63	60	33
64	60	32
65	61	31
66	61	30
67	62	29
68	63	28
69	63	27
70	64	26
71	64	25
72	65	24
73	65	23
74	66	22
75	67	21
76	67	20
77	68	19
78	69	18
79	70	17
80	71	16
81	72	15
82	72	14
83	73	13
84	73	13
85	74	12
86	75	11
87	75	10
88	76	9
89	77	8
90	77	7
91	78	6
92	78	5
93	79	5
94	80	4
95	80	3
96	81	2
97	81	1
98	82	0
99	84	0
