iter	Passed	Remaining
0	100	100398
1	103	51668
2	106	35276
3	108	27102
4	112	22366
5	115	19073
6	117	16694
7	122	15205
8	124	13761
9	129	12820
10	132	11896
11	139	11456
12	142	10790
13	146	10284
14	150	9903
15	153	9453
16	156	9058
17	158	8654
18	161	8316
19	166	8166
20	168	7862
21	172	7661
22	174	7429
23	179	7297
24	181	7092
25	183	6883
26	186	6721
27	189	6561
28	193	6470
29	195	6305
30	197	6163
31	200	6059
32	203	5948
33	207	5902
34	209	5789
35	212	5690
36	215	5598
37	217	5505
38	220	5421
39	222	5343
40	224	5259
41	228	5207
42	231	5146
43	235	5115
44	238	5051
45	240	4997
46	243	4937
47	246	4886
48	248	4824
49	250	4764
50	252	4695
51	254	4647
52	257	4597
53	258	4536
54	261	4489
55	263	4445
56	266	4403
57	268	4354
58	270	4316
59	272	4276
60	275	4242
61	278	4208
62	280	4177
63	283	4146
64	286	4124
65	289	4094
66	293	4083
67	295	4052
68	298	4022
69	300	3991
70	302	3961
71	305	3936
72	307	3903
73	309	3877
74	312	3848
75	314	3824
76	317	3801
77	319	3776
78	320	3739
79	322	3709
80	325	3693
81	328	3672
82	329	3638
83	332	3622
84	335	3616
85	337	3591
86	340	3576
87	343	3560
88	346	3544
89	348	3525
90	351	3509
91	353	3489
92	354	3460
93	356	3434
94	358	3419
95	361	3404
96	363	3385
97	365	3362
98	368	3354
99	371	3344
100	374	3329
101	376	3318
102	379	3305
103	382	3293
104	385	3287
105	388	3272
106	390	3258
107	392	3245
108	397	3247
109	399	3234
110	402	3226
111	405	3213
112	407	3200
113	409	3181
114	411	3169
115	414	3160
116	416	3146
117	418	3128
118	420	3115
119	423	3104
120	426	3094
121	427	3078
122	430	3068
123	432	3057
124	435	3047
125	437	3036
126	440	3028
127	443	3018
128	445	3005
129	447	2996
130	450	2986
131	452	2977
132	456	2973
133	458	2965
134	461	2956
135	463	2946
136	466	2939
137	471	2944
138	473	2935
139	476	2929
140	479	2922
141	481	2907
142	485	2906
143	488	2903
144	491	2896
145	493	2888
146	496	2881
147	500	2882
148	503	2875
149	506	2868
150	508	2860
151	511	2853
152	513	2844
153	516	2836
154	518	2828
155	521	2821
156	524	2818
157	527	2809
158	530	2804
